gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
22459,12/31/24,2024,INDL,C,D,STD,UE,URBAN EDGE PROPERTIES,USD,1611547,A,601070,60,60107010,531120,6798,,,2.6847265
8699,9/30/24,2024,INDL,C,D,STD,POWL,POWELL INDUSTRIES INC,USD,80420,A,201040,20,20104010,335313,3613,220,925,2.66378958
36482,12/31/24,2024,INDL,C,D,STD,LEGN,LEGEND BIOTEC COR -ADR,USD,1801198,A,352010,35,35201010,325414,2836,,,2.6580299
18441,12/31/24,2024,INDL,C,D,STD,SPNT,SIRIUSPOINT LTD,USD,1576018,A,403010,40,40301050,524130,6331,,,2.65300013
37751,12/31/24,2024,INDL,C,D,STD,DRVN,DRIVEN BRANDS HOLDINGS INC,USD,1804745,A,202010,20,20201070,811111,7500,,,2.64879996
8334,12/31/24,2024,INDL,C,D,STD,PAR,PAR TECHNOLOGY CORP,USD,708821,A,452030,45,45203010,334118,3578,370,925,2.63828435
273726,12/31/24,2024,INDL,C,D,STD,SDRL,SEADRILL LTD,USD,1737706,A,101010,10,10101010,213111,1381,,,2.63778001
8079,12/31/24,2024,INDL,C,D,STD,OII,OCEANEERING INTERNATIONAL,USD,73756,A,101010,10,10101020,213112,1389,395,935,2.6356448
11796,12/31/24,2024,INDL,C,D,STD,LCII,LCI INDUSTRIES,USD,763744,A,251010,25,25101010,336211,3711,305,976,2.63251618
38782,12/31/24,2024,INDL,C,D,STD,VERA,VERA THERAPEUTICS INC,USD,1831828,A,352010,35,35201010,325414,2836,,,2.63103006
26410,12/31/24,2024,INDL,C,D,STD,FCPT,FOUR CORNERS PROPERTY TR INC,USD,1650132,A,601080,60,60108010,531120,6798,,,2.62536076
12544,12/31/24,2024,INDL,C,D,STD,JOE,ST JOE CO,USD,745308,A,602010,60,60201010,721110,7011,305,976,2.62382214
17145,9/30/24,2024,INDL,C,D,STD,WAFD,WAFD INC,USD,936528,A,401010,40,40101015,522110,6020,840,800,2.62282072
36692,12/31/24,2024,INDL,C,D,STD,LMND,LEMONADE INC,USD,1691421,A,403010,40,40301040,524126,6331,,,2.6191354
26167,12/31/24,2024,INDL,C,D,STD,BWIN,BALDWIN INSURANCE GROUP INC,USD,1781755,A,403010,40,40301010,524210,6411,,,2.61897444
33421,12/31/24,2024,INDL,C,D,STD,GSHD,GOOSEHEAD INSURANCE,USD,1726978,A,403010,40,40301010,524210,6411,,,2.61541746
160173,12/31/24,2024,INDL,C,D,STD,ABR,ARBOR REALTY TRUST INC,USD,1253986,A,402040,40,40204010,525990,6798,,,2.61223465
8546,12/31/24,2024,INDL,C,D,STD,PHG,KONINKLIJKE PHILIPS NV,USD,313216,A,351010,35,35101010,334510,3845,220,925,2.60839044
36819,12/31/24,2024,INDL,C,D,STD,KYMR,KYMERA THERAPEUTIC INC,USD,1815442,A,352010,35,35201010,325414,2836,,,2.60481204
27841,12/31/24,2024,INDL,C,D,STD,AMR,ALPHA METALLURGICAL RESOURCE,USD,1704715,A,151040,15,15104050,21211,1220,,,2.60476192
38375,12/31/24,2024,INDL,C,D,STD,OKLO,OKLO INC,USD,1849056,A,551010,55,55101010,2211,4911,,,2.59209808
28475,12/31/24,2024,INDL,C,D,STD,GDS,GDS HOLDINGS LIMITED,USD,1526125,A,451020,45,45102030,518210,7370,,,2.58767784
37752,12/31/24,2024,INDL,C,D,STD,PLTK,PLAYTIKA HOLDING CORP,USD,1828016,A,502020,50,50202020,513210,7372,,,2.58662822
277323,12/31/24,2024,INDL,C,D,STD,ZIM,ZIM INTEGRATED SHIPPING SERV,USD,1654126,A,203030,20,20303010,483111,4412,,,2.58402185
25234,1/31/25,2024,INDL,C,D,STD,BKE,BUCKLE INC,USD,885245,A,255040,25,25504010,458110,5651,452,976,2.57982694
10840,8/31/24,2024,INDL,C,D,STD,UNF,UNIFIRST CORP,USD,717954,A,202010,20,20201070,315,2300,465,976,2.5714827
12673,12/31/24,2024,INDL,C,D,STD,BCS,BARCLAYS PLC,USD,312069,A,401010,40,40101010,522110,6020,810,800,2.56861146
17195,12/31/24,2024,INDL,C,D,STD,FFBC,FIRST FINL BANCORP INC/OH,USD,708955,A,401010,40,40101015,522110,6020,817,800,2.56674432
